abandon,"vt.放弃,遗弃;n.放任,狂热",0.994583045,,,
ability,"n.能力,才干",0.47093844,,,
abnormal,"adj.反常的,变态的;",0.191853033,,,
aboard,"adv.在船(飞机、车)上,上船(飞机、车);prep.在(船、飞机、车)上,上(船、飞机、车)",0.871229351,,,
abolish,"vt.废止,废除(法律、制度、习俗等)",0.427100467,,,
abortion,"n.流产,堕胎,失败,夭折,中止,早产",0.022352162,,,
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱",0.484123044,,,
abrupt,"adj.突然的,陡峭的,生硬的",0.4849548,,,
absence,"n.不在,缺席,缺乏,没有",0.920462516,,,
absent,"adj.不在的,缺席的,缺少的;vt.缺席",0.117988768,,,
absolute,"adj.完全的,绝对的",0.733999428,,,
absorb,"vt.吸收,吸引",0.531478562,,,
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化",0.45291676,,,
absurd,"adj.荒谬的,可笑的",0.354472283,,,
abundance,"n.丰富,充裕,丰富充裕",0.140080286,,,
abundant,"adj.丰富的,充裕的,丰富,盛产,富于",0.508737031,,,
abuse,"n.滥用,虐待,辱骂,陋习;v.滥用,虐待,辱骂",0.77426034,,,
academic,"adj.学院的,理论的",0.841570323,,,
academy,"n.(高等)专科院校,研究院,学会,学术团体,学院",0.952783844,,,
accelerate,"v.加速,促进",0.355180965,,,
accent,"n.重音,口音,重音符",0.063669626,,,
acceptance,"n.接受,承诺,容忍,赞同,相信",0.002787897,,,
access,"n.通路,访问,入门;vt.存取,接近",0.650383454,,,
accessory,"n.附件,零件,附加物,从犯,同谋者;adj.附属的,补充的,同谋的,副的",0.562606195,,,
accident,"n.意外事件,事故",0.673663234,,,
accidental,"adj.意外的,非主要的,附属的;n.非本质属性,次要方面",0.625658376,,,
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应",0.60596616,,,
accommodation,"n.住处,膳宿,(车,船,飞机等的)预定铺位,(眼睛等的)适应性调节,(社会集团间的)迁就融合",0.294749118,,,
accompany,"vt.陪伴,伴奏",0.898285069,,,
accomplish,"vt.完成,达到,实现",0.483333791,,,
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合",0.541393324,,,
accordance,"n.一致,和谐",0.027138953,,,
according,adv.依照,0.613694155,,,
accordingly,"adv.因此,从而",0.757361878,,,
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为",0.376617375,,,
accountant,"n.会计(员),会计师",0.232816147,,,
accumulate,"v.积聚,堆积",0.13191153,,,
accuracy,"n.精确性,正确度",0.313830925,,,
accurate,"adj.正确的,精确的",0.672667352,,,
accuse,"vt.控告,谴责,非难",0.602293045,,,
accustomed,"adj.通常的,习惯的,按照风俗习惯的",0.632993285,,,
